Team Number,Team Name,WLT Ratio,Average OPR,Top OPR,Average RP,Top RP,Average Rank,Top Rank
7252,Vicious Volts,4-6-0,40.8,51.7,466.0,533,16.0,12
7253,Raging Robots,4-6-0,34.15,68.3,489.0,742,17.0,7
7254,S.W.A.T. (Shelby Wildcat Autonomous Techies),8-2-0,28.799999999999997,41.4,320.0,349,13.5,6
8580,Oakview CyberDragons,4-1-0,93.6,93.6,782.0,782,1.0,1
8688,Marysville Jr Vi-Bots,7-3-0,47.3,62.5,358.0,450,14.0,3
8845,the wild bees,7-3-0,102.65,123.0,716.5,822,4.5,4
10136,Frost RoboFalcons White,11-4-0,69.56666666666668,102.0,597.3333333333334,757,8.0,6
11231,Cyborg Cats,2-3-0,58.1,58.1,449.0,449,8.0,8
11691,Scripps Dragons,4-1-0,75.4,75.4,606.0,606,6.0,6
12327,Blue Devils Tech Team,6-4-0,48.25,89.9,485.0,686,16.5,10
12549,Robo Rebels 12549,2-8-0,12.5,14.7,167.5,205,26.0,20
12740,Robo Next-Gen 12740,7-3-0,35.65,37.0,482.5,568,15.0,13
12862,Waldon Dragons,3-2-0,45.5,45.5,434.0,434,10.0,10
13417,Circuit Rush,3-2-0,7.7,38.5,63.0,315,16.8,15
13643,Rebel Wreckers 13643,2-3-0,33.2,33.2,313.0,313,19.0,19
14638,Infinity & Beyond,1-4-0,4.1,4.1,206.0,206,29.0,29
15004,Tech KNOW Logic,19-16-0,40.31666666666667,97.0,508.8333333333333,698,6.166666666666667,3
15078,Reuthanaters,6-4-0,40.400000000000006,49.2,427.0,487,19.0,14
15256,Techno Knights,13-2-0,40.7,112.5,452.4,778,8.8,2
16355,7CREATORS,7-8-0,34.7,75.4,385.3333333333333,644,16.666666666666668,9
16536,M3B,18-12-0,42.02,107.4,584.4,791,2.2,1
16601,Blue Devils Tech Team 2,6-4-0,48.85,77.2,497.0,790,17.5,5
16624,Trial & Error 16224,3-7-0,0.0,0.0,183.0,266,32.0,31
16627,RochesterStorm,2-3-0,24.5,24.5,361.0,361,16.0,16
16742,Jr.  Byting Bulldogs,5-5-0,58.150000000000006,91.7,532.0,890,16.5,2
16808,Cyber Waffles,1-4-0,26.5,26.5,251.0,251,26.0,26
17066,Cirtronic,6-14-0,8.02,36.5,147.2,436,11.8,9
17155,Baker Dynamics,2-8-0,39.65,67.7,382.5,477,19.0,16
17993,Robot Crusaders,5-5-0,34.849999999999994,40.3,457.0,490,17.0,11
19787,Rollin' Rebels 00697,5-5-0,46.55,56.2,411.0,458,20.0,15
19948,Jr. Byting Bulldogs Black,3-7-0,24.35,37.7,302.0,397,27.0,26
19949,Jr. Byting Bulldogs Green,5-5-0,41.599999999999994,42.4,456.5,573,16.5,16
20332,Just Add Logic,8-2-0,47.85,68.0,386.5,503,13.0,2
